id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM1620759_con	0.0789261036493056	0	0	0.224425518740576	0	0.0875788302481574	0	0	0.0138768862680416	0	0.195425923066346	0	0.345844284356476	0	0	0.0183776076537163	0	0.000164734948970138	0.0215800422073417	0	0.0138000688610689	0
GSM1620760_con	0.0109424226355936	0.0250902034748025	0.00257097099720168	0.18377378670755	0.0440440934860713	0.150818829976204	0	0	0	0	0.1621388047014	0	0.393283707589979	0.000258781017731757	0	0.00278907553351292	0	0.00360108771546738	0.0118287647381749	0	0	0.008859471426311
GSM1620761_con	0.0322872171103356	0	0.0062948522274173	0.216689484336066	0	0.0459153272683555	0	0	0	0	0.196249778015398	0	0.455162750390791	0	0	0	0	0.00866341425726861	0	0.000229034549059868	0	0.0385081418453083
GSM1620762_con	0.0161325937772122	0.00373770871699687	0.000835418833408868	0.202878901736434	0.0110209802906138	0.0728768883329617	0	0	0	0	0.260782998075286	0	0.391110637726491	0	0	0.0114781251026398	0	0.00185884805566513	0.0138796751134905	0	0	0.0134072242388001
GSM1620763_con	0.0383801518429885	0	0	0.117134540334942	0.126275948471693	0.136734658159065	0	0	0	0	0.151576748408399	0	0.373255059368929	0	0	0.00637668660280588	0	0.00222276976101831	0.0135557711871496	0	0	0.0344876658630095
GSM1620764_con	0.0561685742815008	0	0.00210049486393518	0.154300221475665	0.0747295764849886	0.106788210628843	0	0	0	0	0.189111871650307	0	0.373069513109113	0	0	0.00222306227925273	0	0.00119897128323608	0.0154708272762362	0	0	0.0248386766669222
GSM1620765_con	0.0224804831605184	0	0	0.237323330407049	0.00723841317627688	0.148155240429909	0.00405499625296729	0	0	0	0.18306239805714	0	0.342421273083151	0	0	0.00679954874942289	0	0.000233272686438103	0.0165256020974181	0	0.00239059277274509	0.0293148491269634
GSM1620766_con	0.0420450613450149	0	0.0175606557817146	0.195291313369176	0.0307762801582367	0.150601453380293	0	0	0	0	0.163749928421639	0	0.339167123802175	0	0	0.00107764566083886	0	0.00557087287590277	0.0119588508669429	0	0	0.0422008143380653
GSM1620767_con	0.0906252252016506	0	0.00175649804726172	0.132234854504306	0.099900266152151	0.244409287752854	0	0	0	0	0.229948971089773	0	0.181261621142204	0	0	0.00535372284996597	0	0.00622406929603361	0.00691215967194762	0	0.00137332429185145	0
GSM1620768_con	0.0539175175223507	0	0.00300554289827698	0.19670565135179	0.0491758371247392	0.159375970880749	0	0	0.00226547080617991	0	0.181739464364807	0	0.309347733677131	0	0	0.0111122595260145	0	0.00312154473114066	0.0169430308975663	0	0	0.0132899762192543
GSM1620769_con	0.0239917110737583	0.00201785090252877	0	0.118164452508459	0.128181424320025	0.170096092120962	0	0	0	0	0.175678608586592	0	0.309643607722795	0	0	0.02267942809686	0	0.00265292534970462	0	0	0.0028596846753173	0.0440342146429978
GSM1620770_con	0.043185782981096	0	0.00620664001151015	0.174985561412301	0.0724269904116929	0.142197141331972	0	0	0	0	0.244368601217317	0	0.271461751716334	0	0	0.0152016972430726	0	0.00437183601143295	0.0255939976632712	0	0	0
GSM1620771_con	0.0308154155859475	0.00152645465965392	0	0.338999722407964	0.0165141682439938	0.0516964024869495	0	0	0	0	0.218728236061517	0	0.315633919945288	0.00216590995930337	0	0	0	0.00229980341213792	0.0100267874448377	0	0	0.0115931797924081
GSM1620772_con	0.058148064217529	0	0	0.254907202724919	0.0568921042644925	0.0910256643283519	0	0	0.0112801190997286	0	0.243460655259024	0	0.260607280016089	0.00237731139276267	0	0.00442206264853192	0	0.00366000019155498	0.00919580146321995	0	0	0.00402373439379638
GSM1620773_con	0.034895562571273	0.00433758216740745	0	0.37015921344073	0	0.125687290498788	0	0	0	0	0.250376299640251	0	0.201236848359397	0.00678717108827019	0	0	0	0.00356106171336308	0	0	0.00295897052051998	0
GSM1620774_con	0.0199081769910589	0.0383135845860086	0	0.197215330851958	0.115114504272205	0.146643495304201	0	0	0	0	0.199973187997532	0	0.265308983925182	0.00112766307111412	0	0	0	0.00071434994863742	0.0100495161098287	0	0.00563120694227276	0
GSM1620775_con	0.0065619206982625	0.00913301050682001	0.00896838324680746	0.196881843605209	0.0653941629700032	0.179534556659334	0	0	0	0	0.179294697706701	0	0.311505224422477	0.000934296108174339	0	0	0	0.00403311344298684	0.00968353205850365	0	0	0.0280752585747201
GSM1620776_con	0.0422198144762681	0.0204157517185303	0	0.0978316698599584	0.115382366834609	0.211440178057727	0	0	0	0	0.207715786776813	0	0.282549935147219	0.00202273639512228	0	0	0	0.00461204924325646	0	0	0.000677391148109393	0.0151323203423876
GSM1620777_con	0.0155556621965066	0.0354136619266879	0	0.0958079372637281	0.140079048888501	0.211065448448991	0	0	0	0	0.207501861954882	0	0.280760111723215	0	0	0.00642452402769119	0	0.00354774549940874	0.00384399807038815	0	0	0
GSM1620778_con	0.0416099369612377	0	0.0083371540200402	0.161030207717727	0.115474311834555	0.122280692185934	0	0	0	0	0.220515428712577	0	0.304659049102694	0	0	0.00558844419431776	0	0.00437513794651841	0.00321656629355794	0	0.00826927100818913	0.00464380002265193
