Gene	Cell	cor	pvalue
AQP9	B cells naive	-0.0516314291207462	0.520338946377939
AQP9	B cells memory	-0.174623756127247	0.028714825095402
AQP9	Plasma cells	0.0249270045696266	0.75664708906474
AQP9	T cells CD8	-0.471210439161741	7.09887253803974e-10
AQP9	T cells CD4 naive	-0.397585985354013	2.52162516208306e-07
AQP9	T cells CD4 memory resting	-0.0844491717264434	0.29265503395159
AQP9	T cells CD4 memory activated	0.188382304765345	0.0181396101904586
AQP9	T cells follicular helper	-0.0777302666757058	0.333224485289201
AQP9	T cells regulatory (Tregs)	0.0690182191994713	0.390390204115557
AQP9	T cells gamma delta	-0.0777302666757058	0.333224485289201
AQP9	NK cells resting	-0.46382078777467	1.43624481930916e-09
AQP9	NK cells activated	0.0671306848562914	0.403511518222173
AQP9	Monocytes	0.762532637885375	0
AQP9	Macrophages M0	0.127343962781213	0.111983174253835
AQP9	Macrophages M1	0.11977245578491	0.135140097084455
AQP9	Macrophages M2	-0.33383859688147	1.9303973331703e-05
AQP9	Dendritic cells resting	-0.0777302666757058	0.333224485289201
AQP9	Dendritic cells activated	0.233818225797072	0.00320573723930068
AQP9	Mast cells resting	0.136182817596372	0.0890064023325366
AQP9	Mast cells activated	0.105995818194144	0.186422726874073
AQP9	Eosinophils	-0.391461414707763	3.98645917879331e-07
AQP9	Neutrophils	0.746612168809729	3.12199670948598e-29
